Date,Source,Quote,
7/5/2015, Crux of the Matter  ," The following eight meditations are drawn from a 200th anniversary sermon at the Congregational church in Rupert, Vermont:SINCE 1786 PEOPLE have been coming here the way you and I came here today. Men who fought in the American Revolution and the widows of men who never got back from it. Civil War veterans. Two centuries worth of farmers, dairymen, mill workers, an occasional traveler. Old men and old women with most of their lives behind them, and young men and young women with most of their lives ahead of them. People who made a go of it and are remembered still, and people who somehow never left their mark in any way the world noticed and aren't remembered anymore by anybody. Despite the enormous differences between them, all these men and women entered this building just the way you and I entered it a few minutes ago because of one thing they had in common.What they had in common was that, like us, they believed (or sometimes believed and sometimes didn't believe; or wanted to believe; or liked to think they believed) that the universe, that everything there is, didn't come about by chance but was created by God. Like us they believed, on their best days anyway, that all appearances to the contrary notwithstanding, this God was a God like Jesus, which is to say a God of love. That, I think, is the crux of the matter. In 1786 and 1886 and 1986 and all the years between, that is at the heart of what has made this place a church. That is what all the whooping has been about. In the beginning it was not some vast cosmic explosion that made the heavens and the earth. It was a loving God who did. That is our faith and the faith of all the ones who came before us.-Originally published in The Clown in the Belfry ", QoD-Crux-of-the-Matter  
7/4/2015, Its Own Worst Enemy  ," I was on a train somewhere along that grim stretch of track between New Brunswick, New Jersey, and New York City. It was a gray fall day with low clouds in the sky and a scattering of rain in the air, a day as bleak and insistent as a headache. The train windows were coated with dust, but there wasn't all that much to see through them anyway except for the industrial wilderness that spread out in all directions and looked more barren and more abandoned as we approached Newark  the flat, ravaged earth, the rubble, the endless factories black as soot against the sky with their tall chimneys that every now and then are capped with flame, a landscape out of Dante. I was too tired from where I'd been to feel much like reading and still too caught up in what I'd be doing to be able to doze very satisfactorily, so after gazing more or less blindly out of the dirty window for a while, I let my eyes come to rest on the nearest bright thing there was to look at, which was a large color photograph framed on the wall up at the front end of the coach. It was a cigarette ad, and I forget what it was in it exactly, but there was a pretty girl in it and a good-looking boy, and they were sitting together somewhere - by a mountain stream, maybe, or a lake, with a blue sky overhead, green trees. It was a crisp, sunlit scene full of beauty, of youth, full of life more than anything else, and thus as different as it could have been from the drabness I'd been looking at through the window until I felt just about equally drab inside myself And then down in the lower left-hand corner of the picture, in letters large enough to read from where I was sitting, was the Surgeon General's familiar warning about how cigarette smoking can be hazardous to your health, or whatever the words are that they use for saying that cigarette smoking can cause lung cancer and kill you dead as a doornail. It wasn't that I hadn't seen such ads thousands of times before and boggled at the macabre irony of them - those pretty pictures, that fatal message - but for some reason having to do with being tired, I suppose, and having nothing else much to look at or think about, I was so stunned by this one that I haven't forgotten it yet. ""Buy this; it will kill you,"" the ad said. ""Choose out of all that is loveliest and greenest and most innocent in the world that which can make you sick before your time and bring your world to an end. Live so you will die."" I'm not interested here in scoring a point against the advertising business or the tobacco industry, and the dangers of cigarette smoking are not what I want to talk about; what I want to talk about is something a great deal more dangerous still, which the ad seemed to be proclaiming with terrible vividness and power. We are our own worst enemies, the ad said. That's what I want to talk about. I had heard it countless times before as all of us have, but this time the ad hit me over the head with it - that old truism that is always true, spell it out and apply it however you like. As nations we stockpile new weapons and old hostilities that may well end up by destroying us all; and as individuals we do much the same. As individuals we stockpile weapons for defending ourselves against not just the things and people that threaten us but against the very things and people that seek to touch our hearts with healing and make us better and more human than we are. We stockpile weapons for holding each other at arm's length, for wounding sometimes even the ones who are closest to us. And as for hostilities - toward other people, toward ourselves, toward God if we happen to believe in God - we can all name them silently and privately for ourselves. The world is its own worst enemy, the ad said. The world, in fact, is its only enemy. No sane person can deny it, I think, as suddenly the picture on the wall of the train jolted me into being sane and being unable to deny it myself. The pretty girl and the good-looking boy. The lake and trees in all their beauty. The blue sky in all its innocence and mystery. And, tucked in among it all, this small, grim warning that we will end by destroying ourselves if we're not lucky. We need no urging to choose what it is that will destroy us because again and again we choose it without urging. If we don't choose to smoke cigarettes ourselves, we choose at least to let such ads stand without batting an eye. ""Buy this; it can kill you,"" the pretty picture said, and nobody on the train, least of all myself, stood up and said, ""Look, this is madness!"" Because we are more than half in love with our own destruction. All of us are. That is what the ad said. I suppose I had always known it, but for a moment-rattling along through the Jersey flats with the gray rain at the window and not enough energy to pretend otherwise for once-I more than knew it. I choked on it.- Originally published in Secrets in the Dark ", Buechner-quote-its-own-worst-enemy-0022  
7/3/2015, Avarice    ," AVARICE, GREED, concupiscence, and so forth are all based on the mathematical truism that the more you get, the more you have. The remark of Jesus that it is more blessed to give than to receive (Acts 20:35) is based on the human truth that the more you give away in love, the more you are. It is not just for the sake of other people that Jesus tells us to give rather than get, but for our own sakes too.-Originally published in Wishful Thinking  ", QoD-Avarice  
7/2/2015, Principles    ," PRINCIPLES ARE WHAT people have instead of God. To be a Christian means among other things to be willing if necessary to sacrifice even your highest principles for God's or your neighbor's sake the way a Christian pacifist must be willing to pick up a baseball bat if there's no other way to stop a man from savagely beating a child.Jesus didn't forgive his executioners on principle but because in some unimaginable way he was able to love them.""Principle"" is an even duller word than ""Religion."" -Originally published in Wishful Thinking  ", QoD-Principles  
7/1/2015, By Letting Go   ," WE FIND BY LOSING. We hold fast by letting go. We become something new by ceasing to be something old. This seems to be close to the heart of that mystery. I know no more now than I ever did about the far side of death as the last letting-go of all, but I begin to know that I do not need to know and that I do not need to be afraid of not knowing. God knows. That is all that matters.Out of Nothing he creates Something. Out of the End he creates the Beginning. Out of selfness we grow, by his grace, toward selflessness, and out of that final selflessness, which is the loss of self altogether, ""eye hath not seen nor ear heard, neither have entered into the heart of man"" what new marvels he will bring to pass next. All's lost. All's found. And if such words sound childish, so be it. Out of each old self that dies some precious essence is preserved for the new self that is born; and with in the child-self that is part of us all, there is perhaps nothing more precious than the fathomless capacity to trust.-Originally published in A Room Called Remember   ", QoD-By-Letting-Go  
6/30/2015, Unthinkable  ," DYING AND DISSOLUTION continue to strike fear in me. Death itself does not. Ten years ago if somebody had offered me a vigorous, healthy life that would never end, I would have said yes. Today I think I would say no. I love my life as much as I ever did and will cling on to it for as long as I can, but life without death has become as unthinkable to me as day without night or waking without sleep.-Originally published in A Room Called Remember  ", QoD-Unthinkable   
6/29/2015, Final Answers   ," NOT LONG AGO I listened to an astrophysicist talk fascinatingly about the extraordinary strides science has made in understanding such things as the origin of the universe, the nature of matter, the relationship of space to time, and he spoke with such conviction and authority that I found myself asking him finally if he could conceive of a time, maybe a hundred years hence, when all his answers to these great questions might look as primitive and inadequate as the theories of, say, medical science a hundred years ago look to us now. His reply was unabashed. He said that as far as he was concerned, these answers that modern science has reached are final answers, and all we need now is time and money enough to continue research into their ramifications and implications. Nobody could be less qualified than I am to pass judgment on the findings of science at any level, but because I know that, like all answers, these scientific answers are expressed in words and in numbers, which I take to be only another form of words, I simply cannot believe them to be final. It is as impossible for me to believe that the words even of scientific genius can say all there is to say about the origin of the universe as it is impossible for me to believe that the words even of Sophocles or Shakespeare can say all there is to say about human tragedy or the words even of Jesus Christ can say all there is to say about God and about our lives under God. Part, at least, of what I believe the New Testament means by calling Jesus himself the Word of God is that in the final analysis not even the most authentic and inspired words he ever spoke could exhaust the mystery he came to reveal, and that when he proclaimed not ""What I say is the truth"" but, instead, ""I am the truth,"" he meant, among other things, that the truth cannot be fully caught in any expression of the truth in words but only in the great eloquence and complexity and simplicity of his own life.-Originally published in A Room Called Remember  ", QoD-Final-Answers   
6/28/2015, Power of Words   ," IF LITERATURE IS a metaphor for the writer's experience, a mirror in which that experience is at least partially reflected, it is at the same time a mirror in which the reader can also see his or her experience reflected in a new and potentially transforming way. This is what it is like to search for God in a world where cruelty and pain hide God, Dostoevski says""How like a winter hath my absence been from thee""; how like seeing a poor woman in a dream with a starving child at her breast; how like Father Zossima kneeling down at the feet of Dmitri Karamazov because he sees that great suffering is in store for him and because he knows, as John Donne did, that suffering is holy. And you and I, his readers, come away from our reading with no more proof of the existence or nonexistence of God than we had before, with no particular moral or message to frame on the wall, but em powered by a new sense of the depths of love and pity and hope that is transmitted to us through Dostoevski's powerful words.Words written fifty years ago, a hundred years ago, a thousand years ago, can have as much of this power today as ever they had it then to come alive for us and in us and to make us more alive within ourselves. That, I suppose, is the final mystery as well as the final power of words: that not even across great distances of time and space do they ever lose their capacity for becoming incarnate. And when these words tell of virtue and nobility, when they move us closer to that truth and gentleness of spirit by which we become fully human, the reading of them is sacramental; and a library is as holy a place as any temple is holy because through the words which are treasured in it the Word itself becomes flesh again and again and dwells among us and within us, full of grace and truth.-Originally published in A Room Called Remember ", QoD-Power-of-Words  
6/27/2015, Shakespeare at His Greatest   ," THERE IS VERY little religion in Shakespeare, but when he is greatest, he is most religious. It is curious that the plays that fit this best are, like The Lord of the Rings, in their own way fairy tales. There is The Tempest, that masque of his old age where all comes right in the end, where like Rembrandt in his last self-portraits Shakespeare smiles up out of his wrinkles and speaks into the night a golden word too absurd to be anything perhaps but true, the laughter of things beyond the tears of things.And there is King Lear, its Cinderella opening with the wicked sisters and the good one. But then the fairy tale is turned on its head, and although everything comes right in the end, everything also does not come rightreligion books are usually tidier. Blinded, old Gloucester sees the truth about his sons but too late to save the day. Cordelia is vindicated in her innocence only to be destroyed more grotesquely because more pointlessly than her sisters in their lustful cunning. And Lear himself emerges from his madness to become truly a king at last, but dies then babbling that his dead darling lives and fumbling with a button at his throat.-Originally published in A Room Called Remember  ", QoD-Shakespeare-at-His-Greatest  
6/26/2015, We Catch Glimmers  ," RELIGION AS A word points to that area of human experience where in one way or another man comes upon mystery as a summons to pilgrimage; where he senses meanings no less overwhelming because they can be only hinted at in myth and ritual; where he glimpses a destination that he can never know fully until he reaches it. We are all of us more mystics than we believe or choose to believelife is complicated enough as it is, after all. We have seen more than we let on, even to ourselves. Through some moment of beauty or pain, some sudden turning of our lives, we catch glimmers at least of what the saints are blinded by; only then, unlike the saints, we tend to go on as though nothing has happened. To go on as though something has happened, even though we are not sure what it was or just where we are supposed to go with it, is to enter the dimension of life that religion is a word for.Some, of course, go to the typewriter. First the lump in the throat, the stranger's face unfurling like a flower, and then the clatter of the keys, the ting-a-ling of the right-hand margin. One thinks of Pascal sewing into his jacket, where after his death a servant found it, his ""since about half past ten in the evening until about half past midnight. Fire. Certitude. Certitude. Feeling. Joy. Peace,"" stammering it out like a child because he had to. Fire, fire, and then the scratch of pen on paper. There are always some who have to set it down in black and white.-Originally published in A Room Called Remember  ", QoD-We-Catch-Glimmers  
6/25/2015, A Game We Play   ," THERE IS A game we play sometimes. If we could somehow meet one of the great ones of history, which one would we choose? Would it be Shakespeare, maybe, because nobody knew better than he the Hamlet of us and the Ophelia of us, nobody knew better than he this mid-summer night's dream of a darkly enchanted world. Or maybe it would be Abraham Lincoln, with feet no less of clay than our own feet, but whose face, in those last great photographs, seems somehow to have not only all of human suffering in it but traces of goodness and compassion that seem almost more than human. Or maybe it would be Saint Joan, the Maid of Orleans, whose very weakness was her strength, her innocence her armor, lighting up the dark skies of the fifteenth century like a star. But the great ones of the world, if you and I were to meet them, would have nothing to give us but their greatness, nothing to ask of us but our admiration; and we would go to such a meeting full of awe to be sure but knowing more or less what to expect. In the saints and heroes of the past, we would find someone greater than we are, more human, more complete, but cut from the same cloth as we are after all, someone who was as often lost, as full of doubt, as full of hope, waiting no less than you and I wait for we're not sure what to deliver us at last.-Originally published in A Room Called Remember   ", QoD-A-Game-We-Play   
6/24/2015, Saying Grace   ," THERE IS A restaurant in a city somewhere, a sort of quick-lunch place with no tablecloths on the tables, just the ketchup and mustard jars on the bare wood. It seems to be raining outside. An elderly man with a raincoat and umbrella has turned at the door. Another man glances up as he sits there smoking a cigar over a newspaper and the remains of his coffee. Two teenagers sit at a table, one of them with a cigarette in his mouth. They are all looking at the same thing, which is an old woman and a small boy who are sharing a table with the teenagers. Their heads are bowed. They are saying grace. The people watching them watch with dazed fascination. The small boy's ears stick out from his head like the handles of a jug. The old woman's eyes are closed, her hair untidy under a hat that has seen better days. The people are watching something that you feel they may have been part of once but are part of no longer. Through the plate-glass window and the rain, the city looks dim, monotonous, industrial. The old woman and the boy are saying grace there, and for a moment the silence in the place is fathomless. The watchers are watching something that they've all but forgotten and will probably forget again as soon as the moment passes. They could be watching creatures from another planet. The old woman and the boy in their old-fashioned clothes, praying their old-fashioned prayer, are leftovers from a day that has long since ceased to be.It is not fashionable to praise Norman Rockwell overmuch, that old master of nostalgia and American corn, but we have to praise him at least for this most haunting and maybe most enduring of all his Saturday Evening Post covers which touches on something that I think touches us all. It was some thirty years ago that he painted it, but the likeness remains fresh and true to this day, and of course it is a likeness of us and of a world not unlike the one the Seventy-fourth Psalm describes.-Originally published in A Room Called Remember   ", QoD-Saying-Grace  
6/23/2015, Our Own Story  ," THE WORDS INSCRIBED on the Statue of Liberty where it stands on Bedloe's Island in New York harbor are familiar to all of us:Give me your tired, your poor, Your huddled masses yearning to be free, The wretched refuse of your teeming shore. Send these, the homeless, tempest-tossed, to me; I lift my torch beside the golden door. It is not great poetry, perhaps, and many a cynical word could be spoken about how the golden door that the goddess of liberty lights with her torch turned out for many to be the door to a wretchedness greater than any they had left behind on the teeming shores of their homelands. But nevertheless I think the old words have power in them still, if we let them, to move us, to touch us close to where we live. And the reason they have such power, I believe, is that one way or another they are words about us. Whether we're rich or poor, whether our forebears came to this country on the Mayflower or a New England slave ship or a nineteenth-century clipper or in a twentieth-century jet, those huddled masses are part of who all of us are, both as individuals and as a people. They are our fathers and mothers. They are our common past. Yet it goes farther and deeper than that. They are our past, and yet they are also ourselves. In countless ways, both hidden and not so hidden, it is you and I who are the homeless and tempest-tossed, waiting on our own Ellis Islands for the great promise to be kept of a new world, a new life, which we haven't yet found. We are the ones who yearn to breathe free. We stand not merely like them but in a sense with them beside the golden door. To read the story of our immigrant forebears as it is summarized on the base of the old statue is to read our own story, and maybe it is only when we see that it is our own story that we can really understand either it or ourselves. -Originally published in A Room Called Remember  ", QoD-Our-Own-Story  
6/22/2015, No Miracle Happens   ," IN DOSTOEVSKI'S NOVEL The Brothers Karamazov there is an extraordinary scene where the old monk Father Zossima dies. They lay him out in his coffin in the chapel, and all of the monks wait around to see a miraclefor the body to give off the fragrance of a rose, maybe, or his dead face to flicker with a holy light. But no miracle happens, and not only does no miracle happen, but as time goes by something else happens instead. After a while the body shows signs of decomposition, and graduallythough at first the monks try not to notice it  the chapel is filled with the stink of death. No miracle happens, but decay and death happen, the stench of dust returning to dust; and the one who loved the old man mostAlyosha, the youngest of the brothersstands ready to give the whole thing up as a bad joke, to give up all hope of miracle, to give up his life, to give up if not God himself then the dusty world that hides God from our sight. Then he has this dream.He is keeping vigil at the old man's coffin while one of the monks reads the story of the Wedding at Cana over it, and when he falls asleep, the dream comes. It is a dream about Cana. There are the guests, there are the young couple sitting, the wise governor of the feast, and suddenly there is old Zossima tooa little thin old man with tiny wrinkles on his face, and of all the things he could be doing, what he is doing in that dream is laughing, laughing at that great feast like a child. And when Alyosha wakes up, he does something that he himself does not fully understand. He tears out of the chapel and rushes down into the monastery yard. He hears inside himself the words, ""Water the earth with the tears of your joy and love those tears"" and suddenly he gets down on all fours and kisses the earth with his lips; and when he gets up, he's no longer a teary wreck of a boy but a ""champion,"" Dostoevski writessome kind of crazy champion and hero. -Originally published in A Room Called Remember   ", QoD-No-Miracle-Happens  
6/21/2015, Something Dimly Seen  ," I REMEMBER A spring or so ago walking with a friend through a stand of maple trees at sugaring time. The sap buckets were hung from the trees, and if you were quiet, you could hear the sap dripping into them: all through the woods, if you kept still, you could hear the hushed drip-dropping of the sap into a thousand buckets or more hung out in the early spring woods with the sun coming down in long shafts through the trees. The sap of a maple is like rainwater, very soft, and almost without taste except for the faintest tinge of sweetness to it, and when my friend said he'd never tried it, I offered to give him a taste. I had to unhook the bucket from the tap to hold it for him, and when he bent his head to drink from it, I tipped the bucket down to his lips, and just as he was about to take a sip, he looked up at me and said, "" I have a feeling you ought to be saying some words.""Well, my friend is no more or less religious than the next person, and we'd been chattering on about nothing in particular as we walked along until just at that moment as I tipped the bucket to his lips, he said what he said, and said it partly as a joke. He had a feeling I should be saying some words, he said, as I tipped the bucket to his lips so he could taste for the first time the taste of the lifeblood of a tree. And of course for a moment those unsaid words fell through the air of those woods like the shafts of sun, and it was no joke because the whole place became another place or became more deeply the place it truly was; and he and I became different, something happened for a second to the air around us and between us. It was not much and lasted only for a moment before it was gone. But it happenedthis glimpse of something dimly seen, dimly heard, this sense of something deeply hidden.-Originally published in A Room Called Remember  ", QoD-Something-Dimly-Seen  
6/20/2015, The Word   ," THE BIBLE is usually very universal and makes you want to see somethingsome image to imagine it by. ""The light shines in the darkness,"" John says, and maybe you see an agonizing burst of light with the darkness folding back like petals, like hands. But the imagery of John is based rather on sound than on sight. It is a Word you hear breaking through the unimaginable silencea creating word, a word that calls forth, a word that stirs life and is life because it is God's word, John says, and has God in it as your words have you in them, have in them your breath and spirit and tell of who you are. Light and dark, the visual, occur in space, but sound, this Word spoken, occurs in time and starts time going. ""Let there be"" the Word comes, and then there is, Creation is. Something is where before there was nothing and the morning stars sing together and all the Sons of God shout for joy because sequence has begun, time has begun, a story has begun.-Originally published in A Room Called Remember  ", QoD-The-Word  
6/19/2015, The Final Secret  ," THE FINAL SECRET, I think, is this: that the words ""You shall love the Lord your God"" become in the end less a command than a promise. And the promise is that, yes, on the weary feet of faith and the fragile wings of hope, we will come to love him at last as from the first he has loved usloved us even in the wilderness, especially in the wilderness, because he has been in the wilderness with us. He has been in the wilderness for us. He has been acquainted with our grief.And, loving him, we will come at last to love each other too so that, in the end, the name taped on every door will be the name of the one we love.""And these words which I command you this day shall be upon your heart, and you shall teach them diligently to your children, and you shall talk of them when you sit in your house, and when you walk by the way, and when you rise.""And rise we shall, out of the wilderness, every last one of us, even as out of the wilderness Christ rose before us. That is the promise, and the greatest of all promises. -Originally published in A Room Called Remember  ", QoD-The-Final-Secret  
6/18/2015, To Give Yourself   ," BY ALL THE LAWS both of logic and simple arithmetic, to give yourself away in love to another would seem to mean that you end up with less of yourself left than you had to begin with. But the miracle is that just the reverse is true, logic and arithmetic go hang. To give yourself away in love to somebody elseas a man and a woman give themselves away to each other at a weddingis to become for the first time yourself fully.To live not just for yourself alone anymore but for another self to whom you swear to be trueplight your troth to, your truth tois in a new way to come fully alive. Things needn't have been that way as far as we know, but that is the way things are, that is the way life is, and if you and I are inclined to have any doubts about it, we can always put it to the test. The test, needless to say, is our lives themselves.Nobody with any sense claims that marriage is going to be clear sailing all the way, least of all the author of the marriage service. ""For better for worse, for richer for poorer, in sickness and in health""there will be good times and bad times both. There will be times when the vows exchanged herewild and implausible as in countless ways they areseem all but impossible to keep. But by holding fast to each other in trust, in patience, in hope, and by holding fast also to him who has promised to be present whenever two or three are gathered together in his name as he was present that day in Cana of Galilee, the impossible becomes possible. The water becomes wine. And by grace we become, little by little, human in spite of ourselves, become whole, become truly loving and lovely at last. -Originally published in A Room Called Remember  ", QoD-To-Give-Yourself  
6/17/2015, We Have It in Us   ," YET THEY MEET AS welI as diverge, our stories and Christ's, and even when they diverge, it is his they diverge from, so that by his absence as well as by his presence in our lives we know who he is and who we are and who we are not. We have it in us to be Christs to each other and maybe in some unimaginable way to God toothat's what we have to tell finally. We have it in us to work miracles of love and healing as well as to have them worked upon us. We have it in us to bless with him and forgive with him and heal with him and once in a while maybe even to grieve with some measure of his grief at another's pain and to rejoice with some measure of his rejoicing at another's joy almost as if it were our own. And who knows but that in the end, by God's mercy, the two stories will converge for good and all, and though we would never have had the courage or the faith or the wit to die for him any more than we have ever managed to live for him very well either, his story will come true in us at last. And in the meantime, this side of Paradise, it is our business (not like so many peddlers of God's word but as men and women of sincerity) to speak with our hearts (which is what sincerity means) and to bear witness to, and live out of, and live toward, and live by, the true word of his holy story as it seeks to stammer itself forth through the holy stories of us all.-Originally published in A Room Called Remember  ", QoD-We-Have-it-In-Us  
6/16/2015, Where We Started  ," THE STORY OF CHRIST is where we all started from, though we've come so far since then that there are times when you'd hardly know it to listen to us and when we hardly know it ourselves. The story of Christ is what once, somehow and somewhere, we came to Christ through. Maybe it happened little by littlea face coming slowly into focus that we'd been looking at for a long time without really seeing it, a voice gradually making itself heard among many other voices and in such a way that we couldn't help listening after a while, couldn't help trying somehow, in some unsatisfactory way, to answer. Or maybe there was more drama to it than thata sudden catch of the breath at the sound of his name on somebody's lips at a moment we weren't expecting it, a sudden welling up of tears out of a place where we didn't think any tears were. Each of us has a tale to tell if we would only tell it. But however it happened, it comes to seem a long time ago and a long way away, and so many things have happened sinceso many books read, so many sermons heard or preached, so much life livedthat to be reminded at this stage of the game of the story of Jesus, where we all started, is like being suddenly called by your childhood name when you have all but forgotten your childhood name and maybe your childhood too.-Originally published in A Room Called Remember  ", QoD-Where-We-Started  
6/15/2015, Trinity   ," THE MUCH-MALIGNED doctrine of the Trinity is an assertion that, appearances to the contrary notwithstanding, there is only one God. Father, Son, and Holy Spirit mean that the mystery beyond us, the mystery among us, and the mystery within us are all the same mystery. Thus the Trinity is a way of saying something about us and the way we experience God. The Trinity is also a way of saying something about God and the way he is within himself, i.e., God does not need the Creation in order to have something to love because within himself love happens. In other words, the love God is is love not as a noun but as a verb. This verb is reflexive as well as transitive. If the idea of God as both Three and One seems far-fetched and obfuscating, look in the mirror someday.There is (a) the interior life known only to yourself and those you choose to communicate it to (the Father). There is (b) the visible face which in some measure reflects that inner life (the Son). And there is (c) the invisible power you have in order to communicate that interior life in such a way that others do not merely know about it, but know it in the sense of its becoming part of who they are (the Holy Spirit). Yet what you are looking at in the mirror is clearly and indivisibly the one and only You.-Originally published in Wishful Thinking  ", QoD-Trinity  
6/14/2015, The Bible Without Tears  ," What follows are some practical suggestions on how to read the Bible without tears. Or maybe with them.1. DON'T START AT the beginning and try to plow your way straight through to the end. At least not without help. If you do, you're almost sure to bog down somewhere around the twenty-fifth chapter of Exodus. Concentrate on the high points at first. There is much to reward you in the valleys too, but at the outset keep to the upper elevations. There are quite a few. There is the vivid, eyewitness account of the reign of King David, for instance (2 Samuel plus the first two chapters of 1 Kings), especially the remarkable chapters that deal with his last years when the crimes and blunders of his youth have begun to catch up with him. Or the Joseph stories (Genesis 39-50). Or the Book of Job. Or the Sermon on the Mount (Matthew 5-7). Or the seventh chapter of Paul's letter to the Romans, which states as lucidly as it has ever been stated the basic moral dilemma of man and then leads into the eighth chapter, which contains the classic expression of Christianity's basic hope.2. The air in such upper altitudes is apt to be clearer and brighter than elsewhere, but if you nevertheless find yourself getting lost along the way, try a good Bible commentary which gives the date and historical background of each book, explains the special circumstances which it was written to meet, and verse by verse tries to illumine the meaning of the difficult sections. Even when the meaning seems perfectly clear, a commentary can greatly enrich your understanding. The Book of Jonah, for instanceonly two or three pages long and the one genuine comedy in the Old Testamenttakes on added significance when you discover its importance in advancing the idea that God's love is extended not just to the children of Israel but to all mankind.3. If you have even as much as a nodding acquaintance with a foreign language, try reading the Bible in that. Then you stand a chance of hearing what the Bible is actually saying instead of what you assume it must be saying because it is the Bible. Some of it you may hear in such a new way that it is as if you had never heard it before. ""Blessed are the meek"" is the way the English version goes, whereas in French it comes out, ""Heureux sont les débonnaires"" (Happy are the debonair). The debonair of all things! Doors fly open. Bells ring out.4. If you don't know a foreign language, try some English version that you've never tried beforethe New English Bible, Goodspeed's translation, J. B. Phillips's New Testament, or any other you can lay your hands on. The more far-out the better. Nothing could be farther out than the Bible itself. The trouble with the King James or Authorized Version is that it is too full of Familiar Quotations. The trouble with Familiar Quotations is that they are so familiar you don't hear them. When Jesus was crucified, the Romans nailed over his head a sign saying ""King of the Jews"" so nobody would miss the joke. To get something closer to the true flavor, try translating the sign instead: ""Head Jew.""5. It may sound like fortune-telling, but don't let that worry you. Let the Bible fall open in your lap and start there. If you don't find something that speaks to you, let it fall open to something else. Read it as though it were as exotic as the I Ching or the Tarot deck. Because it is.6. If somebody claims that you have to take the Bible literally, word for word, or not at all, ask him if you have to take John the Baptist literally when he calls Jesus the Lamb of God. If somebody claims that no rational person can take a book seriously which assumes that the world was created in six days and man in an afternoon, ask him if he can take Shakespeare seriously whose scientific knowledge would have sent a third-grader into peals of laughter.7. Finally this. If you look at a window, you see fly-specks, dust, the crack where Junior's Frisbie hit it. If you look through a window, you see the world beyond.Something like this is the difference between those who see the Bible as a Holy Bore and those who see it as the Word of God which speaks out of the depths of an almost unimaginable past into the depths of ourselves. -Originally published in Wishful Thinking  ", QoD-The-Bible-Without-Tears  
6/13/2015, The King Does Come   ," WHEN JESUS OF Nazareth rode into Jerusalem on Palm Sunday and his followers cried out, ""Blessed is the King who comes in the name of the Lord,"" the Pharisees went to Jesus and told him to put an end to their blasphemies, and Jesus said to them, ""I tell you, if these were silent, the very stones would cry out."" This church. The church on the other side of town, the other side of the world. All churches everywhere. The day will come when they will lie in ruins, every last one of them. The day will come when all the voices that were ever raised in them, including our own, will be permanently stilled. But when that day comes, I believe that the tumbled stones will cry aloud of the great, deep hope that down through the centuries has been the one reason for having churches at all and is the one reason we have for coming to this one now: the hope that into the world the King does come. And in the name of the Lord. And is always coming, blessed be he. And will come afire with glory, at the end of time.In the meantime, King Jesus, we offer all churches to you as you offer them to us. Make thyself known in them. Make thy will done in them. Make our stone hearts cry out thy kingship. Make us holy and human at last that we may do the work of thy love.-Originally published in A Room Called Remember   ", QoD-The-King-Does-Come  
6/12/2015, At the Heart of Things  ," THERE ARE TIMES for all of us when life seems without purpose or meaning, when we wake to a sense of chaos like a great cat with its paws on our chests sucking our breath. What can we do? Where can we turn? Well, you can thank your lucky stars, say many among us, that the world is full of specialists who are working on all these problems; and you can turn to them, men and women who have put behind them all the ancient myths and dreams and superstitions and have dedicated themselves to finding solutions to these problems in the only place where solutions or anything else can be foundwhich is here in the midst of the vast complexities of the cosmos itself, which is all there is or ever was or ever will be. The existence of the Church bears witness to the belief that there is only one thing you can say to such a view and that is that it is wrong. There is only one answer you can give to this terrible sanity, and that is that it is ultimately insane. The ancient myths and dreams of a power beyond power and a love beyond love that hold the cosmos itself, hold all things, in existence reflect a reality which we can deny only to our great impoverishment; and the dream of a holiness and mystery at the heart of things that humankind with all its ingenuity and wisdom can neither explain away nor live fully without goes on being dreamed. Moments continue to go up in flames like the bush in Midian to illumine, if only for a moment, a path that stretches before us like no other path. And such moments call out in a voice which, if we only had courage and heart enough, we would follow to the end of time.-Originally published in A Room Called Remember 	  ", QoD-At-the-Heart-of-Things  
6/11/2015, To Find What We Have Lost   ," WHAT IT MEANS IS that if we come to a church right, we come to it more fully and nakedly ourselves, come with more of our humanness showing, than we are apt to come to most places. We come like Moses with muck on our shoesfoot-sore and travel-stained with the dust of our lives upon us, our failures, our deceits, our hypocrisies, because if, unlike Moses, we have never taken anybody's life, we have again and again withheld from other people, including often even those who are nearest to us, the love that might have made their lives worth living, not to mention our own. Like Moses we come here as we are, and like him we come as strangers and exiles in our way because wherever it is that we truly belong, whatever it is that is truly home for us, we know in our hearts that we have somehow lost it and gotten lost. Something is missing from our lives that we cannot even namesomething we know best from the empty place inside us all where it belongs. We come here to find what we have lost. We come here to acknowledge that in terms of the best we could be we are lost and that we are helpless to save ourselves. We come here to confess our sins.-Originally published in A Room Called Remember   ", QoD-To-Find-What-We-Have-Lost  
